theta,fM,,,,,
0.0,0.009900990099009850,,,,,
7.921760391198050,0.01485148514851480,,,,,
12.982885085574600,0.013861386138613800,,,,,
18.264058679706600,0.01534653465346530,,,,,
23.32518337408310,0.023762376237623700,,,,,
28.386308068459700,0.030693069306930700,,,,,
33.227383863080700,0.04158415841584150,,,,,
38.7286063569682,0.04554455445544550,,,,,
43.78973105134470,0.0752475247524752,,,,,
48.85085574572130,0.11089108910891100,,,,,
53.91198044009780,0.15198019801980200,,,,,
58.973105134474300,0.12673267326732700,,,,,
64.25427872860630,0.12326732673267300,,,,,
69.31540342298290,0.08019801980198020,,,,,
74.3765281173594,0.061881188118811800,,,,,
79.43765281173590,0.04306930693069310,,,,,
84.71882640586790,0.023267326732673200,,,,,
90.00000000000000,0.004455445544554400,,,,,
